"","clo","tOut","tInOp","sex","subjId","time","day"
"178",0.34,29.8892,30.7977206,"female",55,1.21666666666667,3
"179",0.34,29.62478333,30.7619618,"female",55,1.55,3
"180",0.39,17.24556667,25.7965569,"female",57,0,1
"181",0.39,17.8,27.23004436,"female",57,1.15,1
"182",0.39,19.62088333,27.89576883,"female",57,1.48333333333333,1
"183",0.39,20.6755,28.31375771,"female",57,1.35,1
"184",0.39,23.05893333,29.45192872,"female",57,1.13333333333333,1
"185",0.39,23.9,30.03937299,"female",57,1.56666666666667,1
"186",0.43,16.16823333,25.12153365,"female",57,0,2
"187",0.55,15.72201667,25.14689809,"female",57,1.15,2
"188",0.43,15.5,26.00647393,"female",57,1.51666666666667,2
"189",0.43,15.3,25.98424818,"female",57,1.21666666666667,2
"190",0.43,15.704,26.40917667,"female",57,1.21666666666667,2
"191",0.43,15.80013333,26.89457129,"female",57,1.5,2
"192",0.48,13.3,24.46644644,"female",57,0,3
"193",0.68,13.4,24.9780684,"female",57,1.31666666666667,3
"194",0.68,13.6154,25.49659497,"female",57,1.48333333333333,3
"195",0.68,14.4022,25.84033275,"female",57,1.41666666666667,3
"196",0.68,14.1,26.14236786,"female",57,1.25,3
"197",0.48,14.3,26.50516187,"female",57,1.31666666666667,3
"198",0.63,17.10066667,23.37219001,"male",59,0,1
"199",0.63,17.8308,25.55893523,"male",59,1.13333333333333,1
"200",0.63,18.42666667,26.73329382,"male",59,1.41666666666667,1
"201",0.63,19.31456667,26.92788679,"male",59,1.36666666666667,1
"202",0.63,19.73353333,26.14149165,"male",59,1.2,1
"203",0.63,20.7104,27.42091583,"male",59,1.56666666666667,1
"204",0.52,24.1585,25.01797055,"male",59,0,2
"205",0.52,24.6392,26.70255341,"male",59,1.36666666666667,2
"206",0.52,25.34416667,26.88004897,"male",59,1.3,2
"207",0.52,25.77913333,26.17188745,"male",59,2.01666666666667,2
"208",0.52,27.4885,26.24677617,"male",59,0.683333333333333,2
"209",0.6,23.38133333,25.00333122,"male",59,0,3
"210",0.6,26.27185,24.39067186,"male",59,1.21666666666667,3
"211",0.6,27.65933333,25.29924344,"male",59,1.51666666666667,3
